ID_Transakcji,Data,Kategoria,Produkt,Cena_Jednostkowa,Liczba_Sztuk,Wartosc_Zamowienia,Koszt_Dostawy,Calkowita_Wartosc,Region
T20240623-001,2024-06-23,Książki,Poradnik 'Skuteczny Excel',63.02,2,126.04,8.0,134.04,Wschodni
T20240321-003,2024-03-21,Dom i ogród,Lampa stojąca Modern,237.8,4,951.2,20.0,971.2,Centralny
T20240630-002,2024-06-30,Książki,Poradnik 'Skuteczny Excel',63.02,2,126.04,8.0,134.04,Zachodni
T20241109-003,2024-11-09,Odzież,T-shirt BasicColor,70.75,1,70.75,12.0,82.75,Zachodni
T20240512-001,2024-05-12,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,3,1371.6,20.0,1391.6,Północny
T20240819-000,2024-08-19,Książki,Kryminał 'Ciemna Noc',39.92,2,79.84,8.0,87.84,Południowy
T20240219-003,2024-02-19,Książki,Kryminał 'Ciemna Noc',39.92,1,39.92,8.0,47.92,Centralny
T20240930-000,2024-09-30,Książki,Atlas Świata 2024,97.1,1,97.1,8.0,105.1,Północny
T20240823-001,2024-08-23,Zabawki,Lalka interaktywna TalkingFriend,153.6,1,153.6,12.0,165.6,Zachodni
T20241009-000,2024-10-09,Artykuły sportowe,Rower górski XTerra,1763.0,1,1763.0,40.0,1803.0,Wschodni
T20240119-001,2024-01-19,Zabawki,Gra planszowa FamilyFun,128.05,1,128.05,12.0,140.05,Południowy
T20241022-000,2024-10-22,Elektronika,Smartfon Galaxy X20,2228.0,4,8912.0,40.0,8952.0,Zachodni
T20240803-000,2024-08-03,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,1,457.2,20.0,477.2,Zachodni
T20240511-004,2024-05-11,Elektronika,Laptop ProBook Air,4036.5,1,4036.5,40.0,4076.5,Zachodni
T20241024-002,2024-10-24,Odzież,Sukienka letnia Sunshine,160.2,1,160.2,12.0,172.2,Południowy
T20241006-000,2024-10-06,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Południowy
T20240922-002,2024-09-22,Odzież,Buty sportowe RunFast,284.0,1,284.0,20.0,304.0,Centralny
T20240802-001,2024-08-02,Artykuły sportowe,Hantle 5kg zestaw,146.0,2,292.0,20.0,312.0,Zachodni
T20240317-001,2024-03-17,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,1,307.8,12.0,319.8,Północny
T20240114-001,2024-01-14,Odzież,Buty sportowe RunFast,284.0,1,284.0,20.0,304.0,Północny
T20240428-003,2024-04-28,Zabawki,Gra planszowa FamilyFun,128.05,1,128.05,12.0,140.05,Wschodni
T20240515-003,2024-05-15,Książki,Książka kucharska 'Smaki Azji',70.92,2,141.84,8.0,149.84,Południowy
T20240726-003,2024-07-26,Zabawki,Lalka interaktywna TalkingFriend,153.6,1,153.6,12.0,165.6,Północny
T20240317-002,2024-03-17,Dom i ogród,Narzędzia ogrodnicze Garden+,180.1,1,180.1,12.0,192.1,Południowy
T20241122-000,2024-11-22,Zabawki,Puzzle 1000el. WorldMap,72.3,2,144.6,12.0,156.6,Centralny
T20240420-000,2024-04-20,Odzież,T-shirt BasicColor,70.75,1,70.75,12.0,82.75,Wschodni
T20240520-002,2024-05-20,Elektronika,Laptop ProBook Air,4036.5,2,8073.0,40.0,8113.0,Zachodni
T20241215-002,2024-12-15,Odzież,Kurtka zimowa męska Alpine,378.4,1,378.4,20.0,398.4,Wschodni
T20240123-000,2024-01-23,Książki,Poradnik 'Skuteczny Excel',63.02,2,126.04,8.0,134.04,Zachodni
T20240305-003,2024-03-05,Zabawki,Klocki konstrukcyjne BlockWorld,196.2,3,588.6,20.0,608.6,Południowy
T20241026-001,2024-10-26,Zabawki,Lalka interaktywna TalkingFriend,153.6,1,153.6,12.0,165.6,Wschodni
T20241021-001,2024-10-21,Artykuły sportowe,Hantle 5kg zestaw,146.0,1,146.0,20.0,166.0,Zachodni
T20240111-001,2024-01-11,Elektronika,Smartwatch FitPro,703.0,1,703.0,20.0,723.0,Centralny
T20241215-003,2024-12-15,Książki,Powieść 'Tajemnica Gór',41.75,1,41.75,8.0,49.75,Centralny
T20240925-000,2024-09-25,Elektronika,Tablet MediaPad 10,1392.0,2,2784.0,40.0,2824.0,Centralny
T20240711-002,2024-07-11,Artykuły sportowe,Rower górski XTerra,1763.0,2,3526.0,40.0,3566.0,Północny
T20241126-001,2024-11-26,Zabawki,Puzzle 1000el. WorldMap,72.3,3,216.9,12.0,228.9,Centralny
T20240702-003,2024-07-02,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,1,457.2,20.0,477.2,Centralny
T20241101-002,2024-11-01,Książki,Poradnik 'Skuteczny Excel',63.02,1,63.02,8.0,71.02,Zachodni
T20240617-002,2024-06-17,Zabawki,Gra planszowa FamilyFun,128.05,1,128.05,12.0,140.05,Zachodni
T20240613-001,2024-06-13,Artykuły sportowe,Mata do jogi Comfort,87.4,1,87.4,12.0,99.4,Centralny
T20240304-001,2024-03-04,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,1,457.2,20.0,477.2,Południowy
T20241002-001,2024-10-02,Odzież,Sukienka letnia Sunshine,160.2,1,160.2,12.0,172.2,Centralny
T20241011-002,2024-10-11,Zabawki,Gra planszowa FamilyFun,128.05,3,384.15,12.0,396.15,Północny
T20240723-001,2024-07-23,Elektronika,Tablet MediaPad 10,1392.0,2,2784.0,40.0,2824.0,Centralny
T20240229-002,2024-02-29,Książki,Atlas Świata 2024,97.1,1,97.1,8.0,105.1,Północny
T20240829-001,2024-08-29,Zabawki,Puzzle 1000el. WorldMap,72.3,1,72.3,12.0,84.3,Zachodni
T20240428-004,2024-04-28,Odzież,Sukienka letnia Sunshine,160.2,2,320.4,12.0,332.4,Centralny
T20240907-002,2024-09-07,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,4,1828.8,20.0,1848.8,Centralny
T20240826-000,2024-08-26,Artykuły sportowe,Hantle 5kg zestaw,146.0,4,584.0,20.0,604.0,Zachodni
T20240807-003,2024-08-07,Zabawki,Puzzle 1000el. WorldMap,72.3,1,72.3,12.0,84.3,Północny
T20240224-002,2024-02-24,Zabawki,Lalka interaktywna TalkingFriend,153.6,1,153.6,12.0,165.6,Wschodni
T20240324-001,2024-03-24,Elektronika,Laptop ProBook Air,4036.5,2,8073.0,40.0,8113.0,Południowy
T20240928-001,2024-09-28,Elektronika,Tablet MediaPad 10,1392.0,1,1392.0,40.0,1432.0,Północny
T20240718-000,2024-07-18,Książki,Atlas Świata 2024,97.1,3,291.3,8.0,299.3,Centralny
T20240117-002,2024-01-17,Zabawki,Auto zdalnie sterowane RacerX,218.4,1,218.4,20.0,238.4,Północny
T20240127-002,2024-01-27,Elektronika,Laptop ProBook Air,4036.5,2,8073.0,40.0,8113.0,Centralny
T20240915-001,2024-09-15,Artykuły sportowe,Piłka do koszykówki Pro,124.2,1,124.2,12.0,136.2,Zachodni
T20240417-001,2024-04-17,Artykuły sportowe,Hantle 5kg zestaw,146.0,2,292.0,20.0,312.0,Północny
T20241223-001,2024-12-23,Odzież,Buty sportowe RunFast,284.0,1,284.0,20.0,304.0,Zachodni
T20240921-005,2024-09-21,Książki,Atlas Świata 2024,97.1,1,97.1,8.0,105.1,Północny
T20240902-000,2024-09-02,Dom i ogród,Komplet pościeli Dream,192.15,1,192.15,12.0,204.15,Zachodni
T20240106-000,2024-01-06,Elektronika,Tablet MediaPad 10,1392.0,1,1392.0,40.0,1432.0,Centralny
T20241213-005,2024-12-13,Dom i ogród,Lampa stojąca Modern,237.8,1,237.8,20.0,257.8,Północny
T20240928-002,2024-09-28,Zabawki,Klocki konstrukcyjne BlockWorld,196.2,1,196.2,20.0,216.2,Zachodni
T20240126-001,2024-01-26,Artykuły sportowe,Hantle 5kg zestaw,146.0,5,730.0,20.0,750.0,Północny
T20241015-002,2024-10-15,Książki,Książka kucharska 'Smaki Azji',70.92,2,141.84,8.0,149.84,Południowy
T20240729-000,2024-07-29,Odzież,Kurtka zimowa męska Alpine,378.4,2,756.8,20.0,776.8,Wschodni
T20241014-002,2024-10-14,Odzież,Kurtka zimowa męska Alpine,378.4,1,378.4,20.0,398.4,Centralny
T20240603-001,2024-06-03,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Centralny
T20241030-001,2024-10-30,Zabawki,Auto zdalnie sterowane RacerX,218.4,2,436.8,20.0,456.8,Północny
T20240126-002,2024-01-26,Artykuły sportowe,Kijki trekkingowe Hike,130.8,2,261.6,12.0,273.6,Południowy
T20240828-000,2024-08-28,Elektronika,Tablet MediaPad 10,1392.0,2,2784.0,40.0,2824.0,Wschodni
T20241222-001,2024-12-22,Książki,Powieść 'Tajemnica Gór',41.75,1,41.75,8.0,49.75,Wschodni
T20241230-001,2024-12-30,Dom i ogród,Narzędzia ogrodnicze Garden+,180.1,1,180.1,12.0,192.1,Północny
T20241104-003,2024-11-04,Artykuły sportowe,Hantle 5kg zestaw,146.0,1,146.0,20.0,166.0,Centralny
T20240123-001,2024-01-23,Elektronika,Tablet MediaPad 10,1392.0,1,1392.0,40.0,1432.0,Północny
T20240303-002,2024-03-03,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,3,923.4,12.0,935.4,Północny
T20240607-001,2024-06-07,Artykuły sportowe,Mata do jogi Comfort,87.4,2,174.8,12.0,186.8,Północny
T20241211-002,2024-12-11,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,1,1136.4,40.0,1176.4,Zachodni
T20240114-002,2024-01-14,Artykuły sportowe,Kijki trekkingowe Hike,130.8,1,130.8,12.0,142.8,Wschodni
T20240610-001,2024-06-10,Elektronika,Tablet MediaPad 10,1392.0,2,2784.0,40.0,2824.0,Północny
T20240220-001,2024-02-20,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,2,2272.8,40.0,2312.8,Południowy
T20240927-000,2024-09-27,Artykuły sportowe,Piłka do koszykówki Pro,124.2,1,124.2,12.0,136.2,Południowy
T20240724-001,2024-07-24,Odzież,Buty sportowe RunFast,284.0,1,284.0,20.0,304.0,Centralny
T20241215-004,2024-12-15,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Północny
T20240718-001,2024-07-18,Odzież,Kurtka zimowa męska Alpine,378.4,1,378.4,20.0,398.4,Północny
T20240404-003,2024-04-04,Elektronika,Laptop ProBook Air,4036.5,1,4036.5,40.0,4076.5,Południowy
T20241101-003,2024-11-01,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,1,457.2,20.0,477.2,Północny
T20240808-003,2024-08-08,Odzież,Buty sportowe RunFast,284.0,2,568.0,20.0,588.0,Północny
T20241224-000,2024-12-24,Elektronika,Laptop ProBook Air,4036.5,1,4036.5,40.0,4076.5,Południowy
T20240402-000,2024-04-02,Artykuły sportowe,Piłka do koszykówki Pro,124.2,3,372.6,12.0,384.6,Zachodni
T20240930-001,2024-09-30,Zabawki,Puzzle 1000el. WorldMap,72.3,1,72.3,12.0,84.3,Północny
T20240328-001,2024-03-28,Dom i ogród,Komplet pościeli Dream,192.15,1,192.15,12.0,204.15,Zachodni
T20240919-001,2024-09-19,Artykuły sportowe,Hantle 5kg zestaw,146.0,1,146.0,20.0,166.0,Centralny
T20240802-002,2024-08-02,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,1,307.8,12.0,319.8,Północny
T20240728-000,2024-07-28,Dom i ogród,Komplet pościeli Dream,192.15,1,192.15,12.0,204.15,Centralny
T20240216-001,2024-02-16,Odzież,Buty sportowe RunFast,284.0,1,284.0,20.0,304.0,Zachodni
T20240421-001,2024-04-21,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,1,307.8,12.0,319.8,Centralny
T20240506-002,2024-05-06,Książki,Powieść 'Tajemnica Gór',41.75,1,41.75,8.0,49.75,Zachodni
T20240517-001,2024-05-17,Artykuły sportowe,Rower górski XTerra,1763.0,1,1763.0,40.0,1803.0,Południowy
T20240101-001,2024-01-01,Artykuły sportowe,Piłka do koszykówki Pro,124.2,2,248.4,12.0,260.4,Zachodni
T20241118-003,2024-11-18,Odzież,Buty sportowe RunFast,284.0,1,284.0,20.0,304.0,Centralny
T20240313-005,2024-03-13,Dom i ogród,Lampa stojąca Modern,237.8,1,237.8,20.0,257.8,Wschodni
T20240521-001,2024-05-21,Artykuły sportowe,Mata do jogi Comfort,87.4,2,174.8,12.0,186.8,Centralny
T20240704-002,2024-07-04,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,2,615.6,12.0,627.6,Wschodni
T20240724-002,2024-07-24,Odzież,Sukienka letnia Sunshine,160.2,2,320.4,12.0,332.4,Zachodni
T20240306-002,2024-03-06,Odzież,Spodnie jeansowe ClassicBlue,172.2,1,172.2,12.0,184.2,Centralny
T20240323-001,2024-03-23,Odzież,Sukienka letnia Sunshine,160.2,4,640.8,12.0,652.8,Zachodni
T20240408-001,2024-04-08,Artykuły sportowe,Rower górski XTerra,1763.0,1,1763.0,40.0,1803.0,Południowy
T20240929-002,2024-09-29,Odzież,Spodnie jeansowe ClassicBlue,172.2,1,172.2,12.0,184.2,Zachodni
T20240713-002,2024-07-13,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,1,457.2,20.0,477.2,Północny
T20241003-000,2024-10-03,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,2,2272.8,40.0,2312.8,Południowy
T20240331-000,2024-03-31,Zabawki,Gra planszowa FamilyFun,128.05,2,256.1,12.0,268.1,Zachodni
T20240505-003,2024-05-05,Książki,Poradnik 'Skuteczny Excel',63.02,1,63.02,8.0,71.02,Centralny
T20241109-004,2024-11-09,Odzież,Kurtka zimowa męska Alpine,378.4,1,378.4,20.0,398.4,Centralny
T20240930-002,2024-09-30,Książki,Powieść 'Tajemnica Gór',41.75,1,41.75,8.0,49.75,Południowy
T20240417-002,2024-04-17,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,2,615.6,12.0,627.6,Centralny
T20240330-002,2024-03-30,Odzież,Buty sportowe RunFast,284.0,1,284.0,20.0,304.0,Zachodni
T20241031-000,2024-10-31,Książki,Kryminał 'Ciemna Noc',39.92,2,79.84,8.0,87.84,Wschodni
T20241024-003,2024-10-24,Elektronika,Laptop ProBook Air,4036.5,3,12109.5,40.0,12149.5,Wschodni
T20240814-001,2024-08-14,Artykuły sportowe,Mata do jogi Comfort,87.4,1,87.4,12.0,99.4,Południowy
T20240615-000,2024-06-15,Odzież,T-shirt BasicColor,70.75,1,70.75,12.0,82.75,Południowy
T20241225-002,2024-12-25,Książki,Poradnik 'Skuteczny Excel',63.02,2,126.04,8.0,134.04,Zachodni
T20240418-000,2024-04-18,Elektronika,Smartwatch FitPro,703.0,1,703.0,20.0,723.0,Centralny
T20240823-002,2024-08-23,Odzież,Spodnie jeansowe ClassicBlue,172.2,1,172.2,12.0,184.2,Północny
T20240213-000,2024-02-13,Artykuły sportowe,Mata do jogi Comfort,87.4,2,174.8,12.0,186.8,Centralny
T20240518-001,2024-05-18,Zabawki,Puzzle 1000el. WorldMap,72.3,1,72.3,12.0,84.3,Centralny
T20241121-001,2024-11-21,Dom i ogród,Komplet pościeli Dream,192.15,1,192.15,12.0,204.15,Wschodni
T20240820-000,2024-08-20,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Zachodni
T20240918-000,2024-09-18,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,1,307.8,12.0,319.8,Centralny
T20241118-004,2024-11-18,Artykuły sportowe,Mata do jogi Comfort,87.4,3,262.2,12.0,274.2,Zachodni
T20240602-000,2024-06-02,Odzież,Kurtka zimowa męska Alpine,378.4,1,378.4,20.0,398.4,Zachodni
T20241103-002,2024-11-03,Elektronika,Tablet MediaPad 10,1392.0,2,2784.0,40.0,2824.0,Wschodni
T20240709-003,2024-07-09,Dom i ogród,Narzędzia ogrodnicze Garden+,180.1,4,720.4,12.0,732.4,Wschodni
T20240517-002,2024-05-17,Artykuły sportowe,Rower górski XTerra,1763.0,1,1763.0,40.0,1803.0,Wschodni
T20240312-003,2024-03-12,Odzież,Kurtka zimowa męska Alpine,378.4,1,378.4,20.0,398.4,Centralny
T20240612-002,2024-06-12,Artykuły sportowe,Kijki trekkingowe Hike,130.8,1,130.8,12.0,142.8,Wschodni
T20241214-000,2024-12-14,Artykuły sportowe,Rower górski XTerra,1763.0,2,3526.0,40.0,3566.0,Północny
T20241202-002,2024-12-02,Dom i ogród,Komplet pościeli Dream,192.15,1,192.15,12.0,204.15,Północny
T20240923-001,2024-09-23,Książki,Poradnik 'Skuteczny Excel',63.02,1,63.02,8.0,71.02,Południowy
T20241025-000,2024-10-25,Zabawki,Gra planszowa FamilyFun,128.05,2,256.1,12.0,268.1,Północny
T20240730-002,2024-07-30,Artykuły sportowe,Kijki trekkingowe Hike,130.8,2,261.6,12.0,273.6,Centralny
T20240930-003,2024-09-30,Elektronika,Smartwatch FitPro,703.0,3,2109.0,20.0,2129.0,Zachodni
T20241015-003,2024-10-15,Książki,Atlas Świata 2024,97.1,1,97.1,8.0,105.1,Centralny
T20240924-001,2024-09-24,Elektronika,Smartwatch FitPro,703.0,5,3515.0,20.0,3535.0,Zachodni
T20240707-001,2024-07-07,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Południowy
T20240608-006,2024-06-08,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,2,914.4,20.0,934.4,Południowy
T20240322-003,2024-03-22,Dom i ogród,Lampa stojąca Modern,237.8,1,237.8,20.0,257.8,Zachodni
T20240102-000,2024-01-02,Zabawki,Lalka interaktywna TalkingFriend,153.6,1,153.6,12.0,165.6,Południowy
T20241028-001,2024-10-28,Zabawki,Klocki konstrukcyjne BlockWorld,196.2,1,196.2,20.0,216.2,Zachodni
T20240604-002,2024-06-04,Odzież,Kurtka zimowa męska Alpine,378.4,1,378.4,20.0,398.4,Centralny
T20240520-003,2024-05-20,Artykuły sportowe,Rower górski XTerra,1763.0,1,1763.0,40.0,1803.0,Centralny
T20241120-004,2024-11-20,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,2,2272.8,40.0,2312.8,Wschodni
T20240701-001,2024-07-01,Książki,Atlas Świata 2024,97.1,1,97.1,8.0,105.1,Północny
T20240204-003,2024-02-04,Odzież,Sukienka letnia Sunshine,160.2,1,160.2,12.0,172.2,Centralny
T20241203-003,2024-12-03,Elektronika,Smartfon Galaxy X20,2228.0,1,2228.0,40.0,2268.0,Północny
T20240629-000,2024-06-29,Zabawki,Gra planszowa FamilyFun,128.05,2,256.1,12.0,268.1,Centralny
T20241229-001,2024-12-29,Odzież,T-shirt BasicColor,70.75,2,141.5,12.0,153.5,Centralny
T20240829-002,2024-08-29,Zabawki,Gra planszowa FamilyFun,128.05,1,128.05,12.0,140.05,Północny
T20240122-002,2024-01-22,Książki,Kryminał 'Ciemna Noc',39.92,1,39.92,8.0,47.92,Zachodni
T20241014-003,2024-10-14,Zabawki,Lalka interaktywna TalkingFriend,153.6,5,768.0,12.0,780.0,Zachodni
T20241001-004,2024-10-01,Zabawki,Klocki konstrukcyjne BlockWorld,196.2,1,196.2,20.0,216.2,Wschodni
T20241101-004,2024-11-01,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,3,3409.2,40.0,3449.2,Południowy
T20240218-002,2024-02-18,Zabawki,Gra planszowa FamilyFun,128.05,1,128.05,12.0,140.05,Wschodni
T20240320-000,2024-03-20,Zabawki,Gra planszowa FamilyFun,128.05,1,128.05,12.0,140.05,Południowy
T20240808-004,2024-08-08,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,3,3409.2,40.0,3449.2,Wschodni
T20240710-001,2024-07-10,Odzież,T-shirt BasicColor,70.75,3,212.25,12.0,224.25,Południowy
T20241111-002,2024-11-11,Odzież,Kurtka zimowa męska Alpine,378.4,1,378.4,20.0,398.4,Północny
T20240623-002,2024-06-23,Odzież,Sukienka letnia Sunshine,160.2,2,320.4,12.0,332.4,Wschodni
T20241016-000,2024-10-16,Zabawki,Lalka interaktywna TalkingFriend,153.6,1,153.6,12.0,165.6,Południowy
T20240706-001,2024-07-06,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Wschodni
T20241019-002,2024-10-19,Elektronika,Smartwatch FitPro,703.0,1,703.0,20.0,723.0,Południowy
T20241208-001,2024-12-08,Zabawki,Puzzle 1000el. WorldMap,72.3,1,72.3,12.0,84.3,Północny
T20240305-004,2024-03-05,Elektronika,Smartwatch FitPro,703.0,1,703.0,20.0,723.0,Zachodni
T20240502-001,2024-05-02,Elektronika,Tablet MediaPad 10,1392.0,2,2784.0,40.0,2824.0,Centralny
T20240425-002,2024-04-25,Książki,Powieść 'Tajemnica Gór',41.75,1,41.75,8.0,49.75,Zachodni
T20240627-001,2024-06-27,Zabawki,Lalka interaktywna TalkingFriend,153.6,5,768.0,12.0,780.0,Południowy
T20240203-001,2024-02-03,Elektronika,Smartwatch FitPro,703.0,3,2109.0,20.0,2129.0,Południowy
T20240315-003,2024-03-15,Artykuły sportowe,Rower górski XTerra,1763.0,1,1763.0,40.0,1803.0,Północny
T20240520-004,2024-05-20,Odzież,T-shirt BasicColor,70.75,3,212.25,12.0,224.25,Centralny
T20240904-002,2024-09-04,Odzież,Kurtka zimowa męska Alpine,378.4,2,756.8,20.0,776.8,Zachodni
T20240703-003,2024-07-03,Książki,Powieść 'Tajemnica Gór',41.75,1,41.75,8.0,49.75,Wschodni
T20240819-001,2024-08-19,Artykuły sportowe,Hantle 5kg zestaw,146.0,1,146.0,20.0,166.0,Zachodni
T20241205-000,2024-12-05,Dom i ogród,Narzędzia ogrodnicze Garden+,180.1,1,180.1,12.0,192.1,Wschodni
T20240208-001,2024-02-08,Dom i ogród,Lampa stojąca Modern,237.8,1,237.8,20.0,257.8,Zachodni
T20240302-002,2024-03-02,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,5,5682.0,40.0,5722.0,Wschodni
T20240106-001,2024-01-06,Artykuły sportowe,Mata do jogi Comfort,87.4,2,174.8,12.0,186.8,Wschodni
T20240615-001,2024-06-15,Artykuły sportowe,Kijki trekkingowe Hike,130.8,2,261.6,12.0,273.6,Północny
T20241016-001,2024-10-16,Odzież,Kurtka zimowa męska Alpine,378.4,2,756.8,20.0,776.8,Zachodni
T20241201-000,2024-12-01,Odzież,Kurtka zimowa męska Alpine,378.4,5,1892.0,20.0,1912.0,Zachodni
T20240121-001,2024-01-21,Odzież,Buty sportowe RunFast,284.0,2,568.0,20.0,588.0,Północny
T20240226-003,2024-02-26,Zabawki,Puzzle 1000el. WorldMap,72.3,2,144.6,12.0,156.6,Południowy
T20241220-000,2024-12-20,Zabawki,Klocki konstrukcyjne BlockWorld,196.2,1,196.2,20.0,216.2,Zachodni
T20240322-004,2024-03-22,Dom i ogród,Narzędzia ogrodnicze Garden+,180.1,1,180.1,12.0,192.1,Centralny
T20240205-000,2024-02-05,Odzież,Sukienka letnia Sunshine,160.2,1,160.2,12.0,172.2,Wschodni
T20240721-001,2024-07-21,Odzież,T-shirt BasicColor,70.75,2,141.5,12.0,153.5,Zachodni
T20240703-004,2024-07-03,Zabawki,Lalka interaktywna TalkingFriend,153.6,1,153.6,12.0,165.6,Południowy
T20240317-003,2024-03-17,Zabawki,Puzzle 1000el. WorldMap,72.3,1,72.3,12.0,84.3,Północny
T20241128-003,2024-11-28,Artykuły sportowe,Piłka do koszykówki Pro,124.2,1,124.2,12.0,136.2,Północny
T20240521-002,2024-05-21,Zabawki,Lalka interaktywna TalkingFriend,153.6,1,153.6,12.0,165.6,Północny
T20240108-002,2024-01-08,Zabawki,Auto zdalnie sterowane RacerX,218.4,3,655.2,20.0,675.2,Zachodni
T20240427-003,2024-04-27,Odzież,T-shirt BasicColor,70.75,2,141.5,12.0,153.5,Południowy
T20240209-000,2024-02-09,Zabawki,Puzzle 1000el. WorldMap,72.3,2,144.6,12.0,156.6,Południowy
T20240928-003,2024-09-28,Artykuły sportowe,Hantle 5kg zestaw,146.0,1,146.0,20.0,166.0,Centralny
T20240429-002,2024-04-29,Odzież,T-shirt BasicColor,70.75,3,212.25,12.0,224.25,Centralny
T20240418-001,2024-04-18,Artykuły sportowe,Rower górski XTerra,1763.0,1,1763.0,40.0,1803.0,Wschodni
T20241229-002,2024-12-29,Elektronika,Smartfon Galaxy X20,2228.0,3,6684.0,40.0,6724.0,Centralny
T20241114-001,2024-11-14,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Wschodni
T20240414-001,2024-04-14,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,1,1136.4,40.0,1176.4,Północny
T20240710-002,2024-07-10,Odzież,Sukienka letnia Sunshine,160.2,1,160.2,12.0,172.2,Zachodni
T20240808-005,2024-08-08,Artykuły sportowe,Piłka do koszykówki Pro,124.2,2,248.4,12.0,260.4,Południowy
T20241018-003,2024-10-18,Odzież,T-shirt BasicColor,70.75,2,141.5,12.0,153.5,Wschodni
T20240202-000,2024-02-02,Dom i ogród,Zestaw garnków Kitchen Pro,457.2,1,457.2,20.0,477.2,Zachodni
T20240409-002,2024-04-09,Książki,Powieść 'Tajemnica Gór',41.75,1,41.75,8.0,49.75,Północny
T20241213-006,2024-12-13,Odzież,T-shirt BasicColor,70.75,1,70.75,12.0,82.75,Wschodni
T20240711-003,2024-07-11,Artykuły sportowe,Kijki trekkingowe Hike,130.8,1,130.8,12.0,142.8,Północny
T20240323-002,2024-03-23,Artykuły sportowe,Piłka do koszykówki Pro,124.2,1,124.2,12.0,136.2,Centralny
T20241110-001,2024-11-10,Artykuły sportowe,Mata do jogi Comfort,87.4,1,87.4,12.0,99.4,Północny
T20240627-002,2024-06-27,Zabawki,Auto zdalnie sterowane RacerX,218.4,2,436.8,20.0,456.8,Północny
T20240501-001,2024-05-01,Artykuły sportowe,Hantle 5kg zestaw,146.0,1,146.0,20.0,166.0,Wschodni
T20240124-003,2024-01-24,Elektronika,Tablet MediaPad 10,1392.0,3,4176.0,40.0,4216.0,Południowy
T20241122-001,2024-11-22,Artykuły sportowe,Hantle 5kg zestaw,146.0,1,146.0,20.0,166.0,Centralny
T20240511-005,2024-05-11,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Północny
T20241029-000,2024-10-29,Zabawki,Klocki konstrukcyjne BlockWorld,196.2,1,196.2,20.0,216.2,Północny
T20240521-003,2024-05-21,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,1,1136.4,40.0,1176.4,Południowy
T20240406-000,2024-04-06,Zabawki,Klocki konstrukcyjne BlockWorld,196.2,2,392.4,20.0,412.4,Centralny
T20240822-001,2024-08-22,Książki,Kryminał 'Ciemna Noc',39.92,3,119.76,8.0,127.76,Północny
T20241107-001,2024-11-07,Zabawki,Lalka interaktywna TalkingFriend,153.6,3,460.8,12.0,472.8,Północny
T20240801-003,2024-08-01,Artykuły sportowe,Hantle 5kg zestaw,146.0,1,146.0,20.0,166.0,Wschodni
T20240530-002,2024-05-30,Książki,Kryminał 'Ciemna Noc',39.92,2,79.84,8.0,87.84,Zachodni
T20241130-002,2024-11-30,Zabawki,Lalka interaktywna TalkingFriend,153.6,1,153.6,12.0,165.6,Wschodni
T20240128-004,2024-01-28,Odzież,Buty sportowe RunFast,284.0,1,284.0,20.0,304.0,Centralny
T20240831-003,2024-08-31,Elektronika,Smartfon Galaxy X20,2228.0,1,2228.0,40.0,2268.0,Wschodni
T20240901-001,2024-09-01,Odzież,Spodnie jeansowe ClassicBlue,172.2,2,344.4,12.0,356.4,Południowy
T20240203-002,2024-02-03,Zabawki,Lalka interaktywna TalkingFriend,153.6,1,153.6,12.0,165.6,Wschodni
